source_path,module,old_fqcn,target_fqcn,role,phase
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/domain/model/AgentVersionBO.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.domain.model.AgentVersionBO,com.shiyu.ai.agent.implementation.domain.model.AgentVersionBO,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/domain/model/AuditLogBO.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.domain.model.AuditLogBO,com.shiyu.ai.agent.implementation.domain.model.AuditLogBO,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/domain/model/ExecutionTimelineBO.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.domain.model.ExecutionTimelineBO,com.shiyu.ai.agent.implementation.domain.model.ExecutionTimelineBO,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/domain/model/IntentDefBO.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.domain.model.IntentDefBO,com.shiyu.ai.agent.implementation.domain.model.IntentDefBO,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/domain/model/NodeExecutionBO.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.domain.model.NodeExecutionBO,com.shiyu.ai.agent.implementation.domain.model.NodeExecutionBO,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/evaluation/DeterministicEvaluator.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.evaluation.DeterministicEvaluator,com.shiyu.ai.agent.implementation.evaluation.DeterministicEvaluator,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/evaluation/EvalCase.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.evaluation.EvalCase,com.shiyu.ai.agent.implementation.evaluation.EvalCase,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/evaluation/EvalDataset.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.evaluation.EvalDataset,com.shiyu.ai.agent.implementation.evaluation.EvalDataset,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/evaluation/EvalMetric.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.evaluation.EvalMetric,com.shiyu.ai.agent.implementation.evaluation.EvalMetric,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/evaluation/EvalResult.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.evaluation.EvalResult,com.shiyu.ai.agent.implementation.evaluation.EvalResult,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/evaluation/EvalRun.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.evaluation.EvalRun,com.shiyu.ai.agent.implementation.evaluation.EvalRun,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/evaluation/EvaluationRepository.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.evaluation.EvaluationRepository,com.shiyu.ai.agent.implementation.evaluation.EvaluationRepository,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/evaluation/EvaluationService.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.evaluation.EvaluationService,com.shiyu.ai.agent.implementation.evaluation.EvaluationService,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/evaluation/Evaluator.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.evaluation.Evaluator,com.shiyu.ai.agent.implementation.evaluation.Evaluator,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/evaluation/InMemoryEvaluationRepository.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.evaluation.InMemoryEvaluationRepository,com.shiyu.ai.agent.implementation.evaluation.InMemoryEvaluationRepository,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/evaluation/JdbcEvaluationRepository.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.evaluation.JdbcEvaluationRepository,com.shiyu.ai.agent.implementation.evaluation.JdbcEvaluationRepository,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/event/AgentEventListener.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.event.AgentEventListener,com.shiyu.ai.agent.implementation.event.AgentEventListener,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/event/AgentExecutionCompletedEvent.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.event.AgentExecutionCompletedEvent,com.shiyu.ai.agent.implementation.event.AgentExecutionCompletedEvent,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/event/AgentExecutionFailedEvent.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.event.AgentExecutionFailedEvent,com.shiyu.ai.agent.implementation.event.AgentExecutionFailedEvent,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/event/AgentExecutionStartedEvent.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.event.AgentExecutionStartedEvent,com.shiyu.ai.agent.implementation.event.AgentExecutionStartedEvent,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/event/AuditEvent.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.event.AuditEvent,com.shiyu.ai.agent.implementation.event.AuditEvent,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/event/AuditEventListener.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.event.AuditEventListener,com.shiyu.ai.agent.implementation.event.AuditEventListener,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/event/DomainEvent.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.event.DomainEvent,com.shiyu.ai.agent.implementation.event.DomainEvent,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/event/EventPublisher.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.event.EventPublisher,com.shiyu.ai.agent.implementation.event.EventPublisher,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/event/ModelCallEvent.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.event.ModelCallEvent,com.shiyu.ai.agent.implementation.event.ModelCallEvent,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/event/NodeExecutionCompletedEvent.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.event.NodeExecutionCompletedEvent,com.shiyu.ai.agent.implementation.event.NodeExecutionCompletedEvent,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/event/NodeExecutionStartedEvent.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.event.NodeExecutionStartedEvent,com.shiyu.ai.agent.implementation.event.NodeExecutionStartedEvent,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/event/TimelineEventListener.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.event.TimelineEventListener,com.shiyu.ai.agent.implementation.event.TimelineEventListener,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/execution/Execution.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.execution.Execution,com.shiyu.ai.agent.implementation.execution.Execution,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/execution/ExecutionStatus.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.execution.ExecutionStatus,com.shiyu.ai.agent.implementation.execution.ExecutionStatus,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/execution/NodeExecution.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.execution.NodeExecution,com.shiyu.ai.agent.implementation.execution.NodeExecution,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/graph/ConditionEdge.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.graph.ConditionEdge,com.shiyu.ai.agent.implementation.graph.ConditionEdge,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/graph/Graph.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.graph.Graph,com.shiyu.ai.agent.implementation.graph.Graph,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/graph/StateGraphBuilder.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.graph.StateGraphBuilder,com.shiyu.ai.agent.implementation.graph.StateGraphBuilder,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/lifecycle/AgentLifecycle.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.lifecycle.AgentLifecycle,com.shiyu.ai.agent.implementation.lifecycle.AgentLifecycle,implementation,5
modules/domains/agent/shiyu-agent-implementation/src/main/java/com/shiyu/ai/agent/implementation/lifecycle/AgentState.java,shiyu-agent-implementation,com.shiyu.ai.agent.implementation.lifecycle.AgentState,com.shiyu.ai.agent.implementation.lifecycle.AgentState,implementation,5
